Feature,GridRef,Town,Address,Operator,Stone,Age,Group,Formation,Member,Operator,Tel,Fax,Email,Web
Abbey Quarry (Farrington Lane),ST 652 437,Doulting,"Farrington Lane, Doulting, SHEPTON MALLET, Somerset",Ham & Doulting Stone Co. Ltd.,Doulting Stone,Jurassic,Inferior Oolite,,Doulting Stone,"Ham & Doulting Stone Co. Ltd., Tout Quarry, Chessels Lane, Charlton Adam, SOMERTON, Somerset, TA11 7AN",01458 223166,,info@hamanddoultingstone.com,https://www.hamanddoultingstone.com/
"Admiralty Quarry (Waycroft, Independent & Admiralty)",SY 695 730,Easton,"Eastern Street, Easton, PORTLAND, Dorset",G Crook & Sons,Portland Freestone,Jurassic,Portland,Portland Stone,Portland Freestone,"G Crook & Sons, Lower Glebe Farm, West Knighton, DORCHESTER, Dorset, DT2 8PE",01305 852064,01305 854144,enquiries@gcrookandsons.co.uk,http://www.gcrookandsons.co.uk/
Ashen Cross Quarry,ST 495 274,Somerton,"Catsgore Road, SOMERTON, Somerset, TA11 7JW",A R Purnell Ltd.,Blue Lias,Triassic–Jurassic,Lias,Blue Lias,,"A R Purnell Ltd., Ashen Cross Quarry, Catsgore Road, SOMERTON, Somerset, TA11 7JW",01458 274587,,sales@arpurnell.co.uk,https://arpurnell.co.uk/
Belle Vue Farm Quarry,SZ 014 773,Swanage,"Belle Vue Farm, SWANAGE, Dorset",Haysom Purbeck Stone,Purbeck Limestone,Cretaceous,Purbeck Limestone,Durlston,Stair Hole,"Haysom Purbeck Stone, Kingston Road, Langton Matravers, SWANAGE, Dorset, BH19 3JP",01929 439205,01929 439268,haysom@purbeckstone.co.uk,https://purbeckstone.co.uk/
Binnegar Quarry (Binnegar Heath),SY 892 876,Wareham,"Puddletown Road, WAREHAM, Dorset, BH20 6AX",Raymond Brown Quarry Products Ltd.,Sand and gravel,Palaeogene,Bracklesham,Poole,Broadstone Sand,"Raymond Brown Quarry Products Ltd., A1 Omega Park, Electron Way, CHANDLERS FORD, Hampshire, SO53 4SE",01929 462218,,,
Blacklands Quarry,SY 990 778,Langton Matravers,"Acton, Langton Matravers, SWANAGE, Dorset, BH19 3LD",H F Bonfield & Son,Purbeck Limestone,Cretaceous,Purbeck Limestone,Durlston,Stair Hole,"H F Bonfield & Son, Blacklands Quarry, Acton, Langton Matravers, SWANAGE, Dorset, BH19 3LD",01929 439315,01929 439233,stan@hfbonfieldandson.co.uk,http://www.naturalpurbeckstone.co.uk/
Bowden’s Lane Quarry (Boden’s Lane),ST 416 285,Langport,"Bowden’s Lane, LANGPORT, Somerset",Lovell Stone Group Ltd.,White Lias and Blue Lias,Triassic–Jurassic,Penarth and Lias,Lilstock and Blue Lias,Langport,"Lovell Stone Group Ltd., Downs Quarry, Kingston Road, Worth Matravers, SWANAGE, Dorset, BH19 3JP",08006 408793,,sales@lovellstone.com ,https://www.lovellstonegroup.com/quarry/somerset-lias
Bowers Mine (Bowers),SY 684 720,Portland,"Wide Street, PORTLAND, Dorset,",Albion Stone Plc,Portland Freestone,Jurassic,Portland,Portland Stone,Portland Freestone,"Albion Stone PLC, Independent Offices, Easton Street, Portland, Dorset, DT5 1BW",01305 860369,01305 860379,enquiries@albionstone.com,https://www.albionstone.com/
"Broadcroft Quarry (Portland, Yeolands)",SY 700 718,Isle of Portland,"99 Easton Street, PORTLAND, Dorset, DT5 1BP",Stone Firms Ltd.,Portland Freestone,Jurassic,Portland,Portland Stone,Portland Freestone,"Portland Stone Firms Ltd., 99 Easton Street, Portland, Dorset, DT5 1BP",01305 820331,01305 822935,sales@stonefirms.com,https://www.stonefirms.com/
Broadhayes Stone,ST 233 025,Stockland,"Broadhayes Farm, Stockland, HONITON, Devon, EX14 9EL",Broadhayes Stone,Chert,Cretaceous,Selborne,Upper Greensand,,"Broadhayes Stone, Broadhayes Farm, Stockland, HONITON, Devon, EX14 9EL",07753 423411,,enquiries@broadhayesstone.com,https://www.broadhayesstone.com/
